Bew.-Nr.,Firmenname,Adresse,PLZ,Ort/Region,Kategorie,Weitere Aktivitäten,Tierart,Latitude,Longitude
70147816,Abattoir Communal,Ch. de la Villaire 8,1040.0,Echallens VD,"SH, CP",,"B, C, O, P, S",46.6393328,6.6298884
70147795,Abattoir d'Orsieres,Rue de la Commune 3,1937.0,Orsières VS,SH,SH(II),"B, C, O, P, S",46.0302109,7.1462139
42018154,Abattoir de la Vallée,,1874.0,Champéry VS,SH,,"B, C, O, P, S",46.17543,6.86903
65078572,Abattoir de la Vallée de Joux,,1344.0,L'Abbaye VD,"SH, CP",,"B, C, O, P, S",46.64966,6.31907
16-GE-27714,Abattoir de Loëx Sàrl,Route de Loëx 157,1233.0,Bernex GE,SH,SH(II),"B, C, O, P",46.1989219,6.0864241
70593921,Abattoir de Meinier,Case Postale 125,1252.0,Meinier GE,"SH, CP","SH(II), CP(II), SH(III), CP(III)","B, C, O, P",46.24706,6.23423
70148558,Abattoir des Marais Sàrl,Chemin des Marais 2,1470.0,Estavayer-le-Lac FR,SH,SH(II),"B, C, O, P, S",46.8393867,6.8481527
70147837,Abattoir le Vergnolet,Rte de Cremières 2,1070.0,Puidoux VD,SH,,"B, C, O, P, S",46.4932842,6.7869127
77417802,Abattoir Régional d'Avenches,Rte de la Plaine 64,1580.0,Avenches VD,SH,SH(III),"B, C, O, P, S",46.8914309,7.0467614
66582220,Abattoir régional Les Ponts-de-Martel,Les Barres ,2316.0,Les Ponts-de-Martel NE,SH,SH(III),"B, C, O, P, S",47.00016,8.01427
66645315,Abattoirs de la Vallée Sàrl,Rue des Artisans 13,2830.0,Courrendlin JU,SH,SH(III),"B, C, O, P, S",47.3430018,7.3689199
73257847,Abattoirs de Moudon SEAM SA,Rte de Siviriez 12,1510.0,Moudon VD,"SH, CP",,"B, C, O",46.6669279,6.8046343
65414232,Abattoirs de Moutier &amp; env. SA,,2740.0,Moutier BE,SH,"SH(II), SH(III)","B, C, O, P, S",47.27818,7.36951
68886628,Abattoirs Simon Rouiller SA,ch. des Abattoirs 6,1627.0,Vaulruz FR,"SH, CP","SH(II), CP(II), SH(III), CP(III), MM(V), PP(VI)","B, C, O, P, S",46.62118,6.98727
70147821,Administration Communale,Pl. du Village 1,1088.0,Ropraz VD,SH,SH(III),,46.6157051,6.7514906
42412502,Adrian Bürgisser,Schlachthaus Riedtal ,6126.0,Daiwil LU,SH,,"B, C, O, P, S",47.09843,8.01391
52609955,Agroscope,rte de la Tioleyre 4,1725.0,Posieux FR,"SH, CP",,"B, C, O, P",46.7685897,7.1054693
41566514,Andreas Galliker,Gärbigass ,6215.0,Beromünster LU,SH,,"B, C, O, P",47.20612,8.19265
70215523,Andrist Peter,Dorfstrasse 46,4452.0,Itingen BL,SH,"SH(II), SH(III)","B, C, O, P",47.4667224,7.7847777
42803025,"Arnold - Felber Hans, Kundenmetzgerei",Hint. Mühletal (Schlachtbetrieb) ,6130.0,Willisau LU,SH,,"B, C, O, P",47.10195,7.9861
70149373,Bauernverein Gossau,"Berghofstrasse 56,1",8625.0,Gossau ZH ZH,SH,"SH(II), SH(III)","B, C, O, P, S",47.3018715,8.762142
62693245,Baumgartner Otto,Amriswilerstrasse 51,8589.0,Sitterdorf TG,SH,,"B, C, O, P, S",47.5025081,9.2466976
94744024,Bell Schweiz AG Lehrlingsschlachtung,Schlachthofstrasse 55,4056.0,Basel BS,SH,,B,47.5762995,7.5665624
145,"Bell Schweiz AG, Frischfleisch Oensingen",Dünnernstrasse 31,4702.0,Oensingen SO,"SH, CP","CS(0), RW(0), MM(V), MP(V), PP(XIII)","B, O",47.282369,7.7193399
40877726,Berchtold Fleisch AG,Hauptstr. 36,5037.0,Muhen AG,SH,"SH(II), SH(III), GHE(IV)","B, C, O, P, S",47.3346004,8.0545271
40392969,Berchtold Metzgerei AG,Buonaserstrasse 2,6343.0,Rotkreuz ZG,SH,SH(II),"B, C, O, P",47.1410209,8.4285554
41582453,Bertiswiler Metzg AG,Bertiswilerstr. 75,6023.0,Rothenburg LU,SH,,"B, C, O, P",47.0936567,8.2716624
55270022,Betriebsgenossenschaft Metzgerschaft Berner Oberland,Uttigenstrasse 142,3603.0,Thun BE,"SH, CP","RW(0), WM(0), CP(III), PP(VI)","B, C, O, P, S",46.7706288,7.6015612
70626875,Bieri Martin,Huebwiesstr. 6,8492.0,Wila ZH,SH,"SH(II), SH(III)","B, C, O, P, S",47.4163275,8.8470024
66614694,Bio-Metzg AG,Erlenweg 6,3422.0,Kirchberg BE BE,SH,,"B, C, O, P",47.0876252,7.5804202
79810306,Bio-Metzg AG,Birchistrasse 20,3049.0,Säriswil BE,SH,"SH(II), SH(III), GHE(IV)","B, C, O, P, S",46.9942629,7.3503395
73387084,Bircher Eduard,Dorfplatz 74,5063.0,Wölflinswil AG,SH,"SH(II), SH(III), GHE(IV)","B, C, O, P, S",47.4611632,7.9980615
41053042,Blaser Ernst &amp; René,Hauptstrasse 47,5070.0,Frick AG,SH,"SH(II), SH(III), GHE(IV)","B, C, O, P, S",47.5076219,8.0206716
66679251,Blöchlinger-Wyss Hans &amp; Susi,Höf 1,7313.0,St. Margrethenberg SG,SH,,"B, C, O, P, S",46.97691,9.5127
64921821,"Borgeaud, Viande en gros Gaëtan",Grandes Maresches ,1920.0,Martigny VS,SH,,"B, C, O, P, S",46.10723,7.08096
62335367,Boucherie &amp; Chevaline Serge Gremaud Sàrl,rte de Fribourg 31,1726.0,Farvagny-le-Grand FR,"SH, CP","SH(II), CP(II)","B, C, O, P",46.7302399,7.0801465
53549344,Boucherie &amp; Epicerie Erard SA,Av. Centrale 45,1885.0,Chesières VD,"SH, CP",,"B, C, O, P, S",46.3014313,7.0441124
65878942,Boucherie CARNATA Sàrl,Prés Joyeux 5,2710.0,Tavannes BE,SH,"SH(II), SH(III)","B, C, O, P, S",47.2219592,7.190628
A62744250,"Boucherie de la Vallée, ZUFFEREY Gilbert",,3961.0,Vissoie VS,SH,,"B, C, O, P, S",46.21633,7.58544
CH41443897,Boucherie Domon SA,Pl. de la Liberté 1,2942.0,Alle JU,SH,SH(II),"B, C, O, P",47.4255443,7.128233
41973348,Boucherie du Mouret Philippe Künzli,ch. de la Croix-Blanche 3,1724.0,Le Mouret FR,SH,SH(II),"B, C, O, P",46.7444819,7.1728603
41309621,Boucherie Junod,Grand-Rue 16,2606.0,Corgémont BE,SH,"SH(II), GHE(IV)","B, O, P, S",47.1943391,7.1437654
41360827,Boucherie Krebs SA,Rue Principale 36,2735.0,Bévilard BE,SH,SH(III),"B, C, O, P",47.2365005,7.2832814
40014670,Boucherie Ledermann &amp; Cie,Rte du Marchairuz 12,1145.0,Bière VD,"SH, CP",,"B, C, O, P, S",46.5378636,6.3332558
61658658,Boucherie Matzinger-Bühler,,2606.0,Corgémont BE,SH,"SH(II), SH(III), GHE(IV)","B, C, O, P, S",47.19457,7.14517
CH41430573,Boucherie Neuenschwander,Route de Courtemblin 8,2950.0,Courgenay JU,SH,,"B, C, O, P",47.4034995,7.1287738
70658369,Boucherie Nyffeler SA,Rue du Clos 4,2740.0,Moutier BE,SH,SH(II),"B, O, P",47.2771854,7.3699398
68742246,Boucherie Schnegg,Chemin de la scierie 4,2738.0,Court BE,SH,SH(II),"B, C, O, P, S",47.2399233,7.3408245
14324114,Boucherie Vuitel,,2612.0,Cormoret BE,SH,GHE(IV),"B, C, O, P",47.17078,7.05421
CH41344631,Boucherie-Traiteur Kottelat SA,Simon-Feunat 3,2854.0,Bassecourt JU,SH,SH(II),"B, C, O, P, S",47.3397078,7.2474801
65372310,Breu Philipp,,8219.0,Trasadingen SH,SH,"SH(II), SH(III)","B, C, O, P, S",47.66862,8.42995
42990329,Buremetzg Kohler,Oberäbnit ,3457.0,Wasen im Emmental BE,SH,"SH(II), GHE(IV)","B, C, O, P",47.04273,7.79723
52281402,Burämetzg Thürig AG,Bahnhofstrasse 2,9615.0,Dietfurt SG,SH,SH(II),"B, C, O, P, S",47.345569,9.0789698
65317079,Buure-Metzg Kym,Riburgerstr. 35,4313.0,Möhlin AG,SH,"SH(II), SH(III), GHE(IV)","B, C, O, P, S",47.5668261,7.8401793
55035018,Cassani Metzg GmbH,Quartnerstrasse 19,8882.0,Unterterzen SG,SH,"SH(II), SH(III), GHE(IV)","B, C, O, P, S",47.1120576,9.249487
70147732,Commune de Val de Bagnes,Place Centrale ,1934.0,Le Châble VS VS,SH,,"B, C, O, P, S",46.07978,7.21192
75365146,Cooperative d'Exploitation de l'Abattoir Régional de Rolle &amp; Environs (CARRE),Creux-du-Mas 4,1180.0,Rolle VD,"SH, CP",,"B, C, O, P, S",46.463703,6.3242149
CH70147711,De Biasio Kevin,Chemin des Lavoirs ,2854.0,Bassecourt JU,SH,"SH(III), GHE(IV)","B, C, O, P",47.33829,7.24494
43213424,Diethelm-Schnellmann Wendelin,Höhgadenstrasse 45,8852.0,Altendorf SZ,SH,,"B, C, O, P",47.1769054,8.8166805
40931729,Dobler Adrian,Eggethof 83,8585.0,Langrickenbach TG,SH,"SH(II), SH(III), GHE(IV)","B, C, O, P",47.5781294,9.2477971
41023535,Dorfmetzg Gebr. Müller,Zürcherstrasse 31,4332.0,Stein AG AG,SH,"SH(II), SH(III), GHE(IV)","B, C, O, P, S",47.54403,7.95256
65907179,Dorfmetzg GmbH,Dorfmetzg GmbH ,6196.0,Marbach LU LU,SH,,"B, C, O, P",46.85441,7.89966
54430007,Dorfmetzg Langnau AG,Mitteldorf ,6262.0,Langnau b. Reiden LU,SH,,"B, C, O, P, S",47.23002,7.96308
46126839,Dorfmetzg Tanner AG,Felseggstrasse 24,9247.0,Henau SG,SH,"MP(V), PP(VI)","B, C, O, P",47.4541979,9.1182789
64503975,Dorfmetzg Wüthrich,,3534.0,Signau BE,SH,SH(III),"B, C, O, P",46.91944,7.72418
41441292,Dorfplatz-Zentrum Moser Muster,Dorfstrasse 10-14,3662.0,Seftigen BE,SH,,"B, C, O, P",46.7867063,7.5341
40586561,Eggs Beat,,3998.0,Reckingen VS VS,SH,SH(III),"B, C, O, P, S",46.46989,8.24164
70147952,Einwohnergemeinde &amp; Schlachthaus,Hirsackerstrasse 2,5272.0,Gansingen AG,SH,"SH(II), SH(III), GHE(IV)","B, C, O, P, S",47.54444,8.13478
73044356,Etablisements de la Plaine de l'Orbe,La Colonie ,1350.0,Orbe VD,SH,,,46.727,6.54309
50683631,Etablissement de détention fribourgeois EDFR -Bellechasse,Bellechasse ,1786.0,Sugiez FR,"SH, CP",PP(VI),"B, C, O, P",46.96192,7.11292
50322658,Felix Ulmann AG,Hauptstrasse 181,5732.0,Zetzwil AG,SH,"SH(II), SH(III), GHE(IV)","B, C, O, P, S",47.284176,8.1524949
155,FF Frischfleisch AG,Zeughausstrasse 14,6210.0,Sursee LU,"SH, CP","CP(II), MM(V), MP(V)","B, C, O, P",47.1787136,8.1032199
CH-155,FF Frischfleisch AG,Zeughausstrasse 14,6210.0,Sursee LU,"SH, CP","CP(II), MM(V), MP(V)","B, C, O, P",47.1787136,8.1032199
70218990,Fischbacher Buremetzg AG,Lerchenfeld ,9601.0,Lütisburg Station SG,SH,,"B, C, O, P, S",47.3851,9.07235
65986542,Fleisch und Brau AG - Schlachthof &amp; Wursterei,Dorfstr. 2,1717.0,St. Ursen FR,SH,SH(III),"B, C, O, P",46.78687,7.22433
64702269,Fleischgewinnung appenzeller fleisch und feinkost ag,Mettlenstrasse 29,9050.0,Appenzell AI,"SH, CP","SH(II), CP(II), SH(III), CP(III), CP(IV), GHE(IV)","B, C, O, P, S",47.3363125,9.4002261
65378967,Fleischhuis Obwalden AG,Industriestrasse 12,6064.0,Kerns OW,SH,,"B, C, O, P",46.9101293,8.2905913
99362466,Fleischwerkstatt Röthenbach AG Samuel Winkelmann,Kreuzfeldweg 18,3373.0,Röthenbach Herzogenbuchsee BE,SH,"SH(II), SH(III), GHE(IV)","B, C, O, P, S",47.2078638,7.6970705
41650988,Forster Metzgerei GmbH,Bischofszellerstrasse 338,9212.0,Arnegg SG,SH,,"B, C, O, P, S",47.4428714,9.2558579
70601095,Fritschi Reinhard,Bergstrasse 5,8416.0,Flaach ZH,SH,"SH(II), SH(III)","B, C, O, P, S",47.5724434,8.6027459
40865893,Fuchs Urs,Dorf 44,9035.0,Grub AR AR,SH,"SH(II), GHE(IV)","B, C, O, P",47.38937,9.39818
15773782,Föhn Lukas,Stoosstrasse 23,6436.0,Ried (Muotathal) SZ,SH,,"B, C, O, P",46.9859706,8.706538
CH63569388,Gatherat Alain,Rte de France 6,2926.0,Boncourt JU,SH,"SH(II), SH(III)","B, C, O",49.323529,2.193955
70149111,Gemeinde Eglisau Schlachtlokal,Obergass 17,8193.0,Eglisau ZH,SH,"SH(II), SH(III)","B, C, O, P, S",47.5760341,8.5241095
70149106,Gemeinde Unterstammheim,Gemeindehausplatz 2,8476.0,Unterstammheim ZH,SH,"SH(II), SH(III)","B, C, O, P, S",47.6392946,8.7910663
70218461,Gemeindekanzlei Mandach,Hauptstrasse 170,5318.0,Mandach AG,SH,"SH(II), SH(III)","B, C, O, P, S",47.5470751,8.1858434
70594946,Gemeindeverwaltung Marthalen,Altemerstr. ,8460.0,Marthalen ZH,SH,"SH(II), SH(III)","B, C, O, P",47.62913,8.65326
67723624,Gen.Schlachthaus Sense Oberland,Zollhaus 536,1716.0,Plaffeien FR,"SH, CP","SH(III), CP(III), CP(IV), MM(V), MP(V), PP(VI)","B, C, O, P, S",46.7028023,7.3096801
16638918,Genossenschaft Fleisch und Wild Chläggi,Schlachthaus ,8215.0,Hallau SH,"SH, CP","CS(0), SH(II), CP(II), SH(III), CP(III), CP(IV), GHE(IV)","B, C, O, P, S",47.69648,8.45827
84110623,Genossenschaft Schlachthaus Gampel,,3945.0,Gampel VS,SH,SH(III),"B, C, O, P, S",46.31599,7.7421
40478521,Grandjean &amp; Fils SA,Rte de Genève 2,1033.0,Cheseaux-sur-Lausanne VD,"SH, CP",,"B, C, O, P, S",46.5844307,6.6046302
70833175,H.R. Kyburz Vieh + Fleisch AG,Dorfstrasse 32,5242.0,Lupfig AG,"SH, CP","CS(0), SH(II), CP(II), SH(III), CP(III), CP(IV), GHE(IV), MM(V), MP(V), MSM(V), PP(VI)","B, C, O, P, S",47.4413837,8.2014863
CH 6173292,Haenni Philippe,Grand'Rue 18,1083.0,Mézières VD VD,"SH, CP",,"B, P",46.5942186,6.7705423
ZB-70149085,Hans und Wurst Naturmetzg GmbH,Chorbstr. 2,8462.0,Rheinau ZH,SH,,B,47.6438276,8.606792
70149085,Hans und Wurst Naturmetzg GmbH,Chorbstr. 2,8462.0,Rheinau ZH,SH,"SH(II), SH(III)","B, C, O, P, S",47.6438276,8.606792
70149499,Hasler Pascal,Hagenwil am Nollen (Schlachthaus) ,9514.0,Wuppenau TG,SH,"SH(II), SH(III)","B, C, O, P",47.49633,9.10904
68593094,Hausschlachtanlage Degersheim und Umgebung AG,Grüenaustrasse 10,9113.0,Degersheim SG,SH,,"B, C, O, P, S",47.3798974,9.2089418
63432113,Heinrich-Hürlimann Remo,Sonnenbergstrasse 7,6415.0,Arth SZ,SH,,"B, C, O, P",47.0654078,8.5339367
64272406,Heinzer Metzgerei GmbH,Hauptstrasse 23,6436.0,Muotathal SZ,"SH, CP","CP(II), PP(VI)","B, C, O, P",46.9748028,8.75653
70148689,Hinni-Thomet Christian,Gaselstrasse 176,3144.0,Gasel BE,SH,"SH(II), SH(III), GHE(IV)","B, C, O, P",46.8981411,7.4030328
40983402,Hobi Andreas,Weinfelderstrasse 67,9543.0,St. Margarethen TG TG,SH,"SH(II), SH(III), GHE(IV)","B, C, O, P, S",47.486135,9.0001081
42417977,Hofmann Josef,Brüschhalde ,6403.0,Küssnacht am Rigi SZ,SH,,"B, C, O, P",47.08557,8.44206
41029778,Huwyler Metzgerei &amp; Partyservice GmbH,Oberdorf 1,5637.0,Beinwil (Freiamt) AG,SH,"SH(II), SH(III), GHE(IV)","B, C, O, P, S",47.2300492,8.342608
40944508,Hälg Metzgerei AG,Bahnhofstrasse 75,9315.0,Neukirch (Egnach) TG,SH,SH(II),"B, C, O, P",47.53114,9.37283
41683873,Häller Fleischprodukte AG,Altishoferstr. 36,6252.0,Dagmersellen LU,SH,,"B, C, O, P",47.2100329,7.9842044
79870279,IG Fleisch vom Reiat,,8242.0,Bibern SH SH,SH,"SH(II), SH(III)","B, C, O, P, S",47.77291,8.6762
70147910,IG Schlachthausverein Alterswilen,Ellighauserstrasse 11,8573.0,Alterswilen TG,SH,"SH(II), SH(III), GHE(IV)","B, C, O, P",47.6101488,9.1498983
70600861,IG Schlachtlokal obere Schwanden,Obere Schwandenstrasse 17.1,8833.0,Samstagern ZH,SH,"SH(II), SH(III)","B, C, O, P, S",47.19167,8.68196
88504378,Il Nuovo Macello Avegno Sagl,In di Salécc 21,6670.0,Avegno TI,SH,,"B, C, O, P, S",46.2135617,8.7443663
45123852,Isenegger - Metzgerei,Luzernerstrasse 26,6037.0,Root LU,SH,,"B, C, O, P",47.1128674,8.3877675
85808642,JG Viandes Sàrl,Route du Simplon 7,1906.0,Charrat VS,SH,SH(II),"B, C, O, P, S",46.1263545,7.1269576
55337153,Joël Rigolet,rte de Sorens 72,1689.0,Le Châtelard-près-Romont FR,"SH, CP",,"B, C, O, P",46.6763981,7.0120787
61463166,Jost Ernst jun.,Hauptstrasse 12,4438.0,Langenbruck BL,SH,,"B, C, O, P",47.3477135,7.7692559
80596687,Kalberer Martin,Brunnenwiesenstrasse 37,8887.0,Mels SG,SH,,"B, C, O, P, S",47.0375036,9.4658228
64226389,Kast GmbH Metzgerei,Neugasse 8,9442.0,Berneck SG,SH,,"B, C, O, P, S",47.42465,9.61254
41686937,Kloster-Metzgerei Haas AG,Murhofstr. 2,4915.0,St. Urban LU,"SH, CP","CP(II), CP(III), MP(V), PP(VI)","B, C, O, P, S",47.2332749,7.8388992
42567362,Kobler René,Grundstrasse 10,9464.0,Rüthi (Rheintal) SG,SH,SH(III),"B, C, O, P, S",47.2968855,9.5367296
67765142,Kronenmetzg GmbH,Hauptstrasse 23,6418.0,Rothenthurm SZ,SH,,"B, C, O, P",47.1033984,8.6754713
66218967,Krucker Philipp,Dorf 4,9527.0,Niederhelfenschwil SG,SH,SH(II),"B, C, O, P, S",47.47487,9.18543
80497730,Kundenmetzgerei Bamert Ulrich,Grund 565,9044.0,Wald AR AR,SH,"SH(II), GHE(IV)","B, C, O, P, S",47.38937,9.39818
A10607115,Kundenmetzgerei Kohler,Industriestrasse 18,3422.0,Rüdtligen BE,SH,"SH(II), SH(III), GHE(IV)","B, C, O, P, S",47.0915492,7.5686579
71467255,Kundenmetzgerei Tellenbach,,3365.0,Grasswil BE,SH,"SH(II), SH(III), GHE(IV)","B, C, O, P",47.14408,7.67012
41512257,Kümin Feinkost GmbH,Chilestrasse 4,6026.0,Rain LU,SH,,"B, C, O, P",47.1297896,8.2584613
40190930,Kündig Adolf,Rickenbachstrasse 50,6430.0,Schwyz SZ,SH,,"B, C, O, P",47.0218064,8.6595813
42137746,Küpfer's Dorfmetzg GmbH,Oberdorf ,6262.0,Langnau b. Reiden LU,"SH, CP",PP(VI),"B, C, O, P",47.23002,7.96308
94118366,Köferli AG Metzgerei Köferli Albert,Winkel ,5312.0,Döttingen AG,SH,"SH(II), SH(III)","B, C, O, P, S",47.57091,8.25846
77315719,La Campagnarde Sàrl,Rue du Carroz 12,1071.0,Chexbres VD,"SH, CP",,"B, C, O, P, S",46.4816795,6.7755973
67782635,Landmetzg Hinterland GmbH,Mööslimatten 16,6218.0,Ettiswil LU,SH,,"B, C, O, P",47.1453063,8.0228681
50360779,Landmetzg Keist,Gondiswilerstrasse 6,6146.0,Grossdietwil LU,SH,,"B, C, O, P",47.1698594,7.8826663
70218681,Landmetzgerei Wattenwil GmbH,Blumensteinstrasse 35b,3665.0,Wattenwil BE,SH,"SH(II), SH(III), GHE(IV)","B, C, O, P, S",46.7632435,7.5088337
52438422,Landwirtschaftliches Zentrum SG,Rheinhof 11,9465.0,Salez SG,SH,,"B, C, O, P",47.2318438,9.4925041
41726982,Laternser Oskar,Dorfstrasse 39,8873.0,Amden SG,SH,SH(III),"B, C, O",47.14888,9.14233
70218812,Les Tchacaîons du Jorat SNC,Rte du Nord 15,1076.0,Ferlens VD VD,"SH, CP","SH(II), CP(II), CP(IV), GHE(IV)","B, C, O, P",46.5901081,6.7883672
67691538,Lippuner Stüdtlimetzg AG,Wiedenstrasse 19,9470.0,Buchs SG SG,SH,,"B, C, O, P, S",47.1683835,9.4714947
92916998,Lussi-Vogler Michael,Rochushostatt 1,6370.0,Oberdorf NW NW,SH,,"B, C, O, P",46.9504357,8.3811087
80622944,Macelleria Cavargna,Via Campagnora 2,6713.0,Malvaglia TI,SH,,"B, C, O, P, S",45.9593445,8.9022348
A40099936,Macelleria Fratelli Freddi,Via Cantonale ,6655.0,Intragna TI,SH,,"B, C, O",46.17709,8.70058
70678543,Macelleria Mattioli SA,Via Petronilla 67,6746.0,Lavorgo TI,SH,,"B, C, O, P, S",46.4408259,8.8411832
80623047,Macelleria Piccoli,,6776.0,Piotta TI,SH,,"B, C, O, P, S",46.51361,8.6783
65600737,Macelleria Vescovi Arno Sagl,,6718.0,Olivone TI,SH,,"B, C, O, P, S",46.52964,8.94356
44123201,Macello Bacchini,,6544.0,Braggio GR,SH,,"B, C",46.30277,9.1238
80610472,Macello Branchi,La Presa da Sot ,7743.0,Brusio GR,SH,"SH(II), SH(III), GHE(IV)","B, C, O, P, S",46.25767,10.12604
CH-70678501,Macello Cassa Bestiame Olivone,C/O Urietti Gino ,6718.0,Olivone TI,SH,,"B, C, O, P, S",46.52964,8.94356
40832416,Macello Fagetti,al S Ã€NT,6535.0,Roveredo GR GR,SH,"SH(II), SH(III), GHE(IV)","B, C, O, S",46.23512,9.12622
70602565,Macello Lardi,Via da mez 177 A,7742.0,Poschiavo GR,SH,"SH(II), SH(III), GHE(IV)","B, C, O, P, S",46.3244,10.05721
